episode,avg_waiting_time,avg_queue_length,throughput,avg_stopped_vehicles
1,0.00,0.00,0,0.00
4,44696.32,316.16,2108,126.50
1,48254.13,333.78,4278,133.52
5,44696.32,316.16,2108,126.50
6,44696.32,316.16,2108,126.50
2,48254.13,333.78,4278,133.52
3,48254.13,333.78,4278,133.52
1,123.45,13.61,11,5.88
1,0.00,20.00,0,6.00
1,48262.44,333.78,4278,133.52
1,2731.57,70.68,112,28.60
1,0.00,0.00,0,0.00
1,2780.51,71.33,112,28.85
2,0.00,0.00,0,0.00
1,2731.57,70.68,112,28.60
1,0.00,0.00,0,0.00
1,2731.57,70.68,112,28.60
1,0.00,0.00,0,0.00
1,2731.57,70.68,112,28.60
1,2731.57,70.68,112,28.60
1,2731.57,70.68,112,28.60
1,2731.57,70.68,112,28.60
1,2731.57,70.68,112,28.60
1,2731.57,70.68,112,28.60
1,462.47,31.62,147,14.10
1,2731.57,70.68,112,28.60
1,2731.57,70.68,112,28.60
1,2731.57,70.68,112,28.60
1,2731.57,70.68,112,28.60
1,2731.57,70.68,112,28.60
1,2731.57,70.68,112,28.60
1,2731.57,70.68,112,28.60
1,2731.57,70.68,112,28.60
1,462.47,31.62,147,14.10
2,48262.44,333.78,4278,133.52
1,2731.57,70.68,112,28.60
1,2731.57,70.68,112,28.60
1,11845.86,87.16,2272,22.01
1,18021.62,128.08,2294,42.84
1,12279.51,88.07,4005,22.23
2,12279.51,88.07,4005,22.23
3,12279.51,88.07,4005,22.23
4,12279.51,88.07,4005,22.23
5,12279.51,88.07,4005,22.23
6,12279.51,88.07,4005,22.23
7,12279.51,88.07,4005,22.23
8,12279.51,88.07,4005,22.23
9,12279.51,88.07,4005,22.23
10,12279.51,88.07,4005,22.23
1,12279.51,88.07,4005,22.23
2,12279.51,88.07,4005,22.23
3,12279.51,88.07,4005,22.23
4,12279.51,88.07,4005,22.23
5,12279.51,88.07,4005,22.23
6,12279.51,88.07,4005,22.23
7,12279.51,88.07,4005,22.23
8,12279.51,88.07,4005,22.23
9,12279.51,88.07,4005,22.23
10,12279.51,88.07,4005,22.23
1,12281.54,88.08,4008,22.23
2,12281.54,88.08,4008,22.23
3,12281.54,88.08,4008,22.23
4,8567.72,80.09,498,20.24
1,11824.55,86.53,1659,21.85
2,11824.55,86.53,1659,21.85
3,11824.55,86.53,1659,21.85
4,11824.55,86.53,1659,21.85
5,11824.55,86.53,1659,21.85
6,11824.55,86.53,1659,21.85
7,11824.55,86.53,1659,21.85
8,11824.55,86.53,1659,21.85
9,11824.55,86.53,1659,21.85
10,11824.55,86.53,1659,21.85
1,11824.55,86.53,1659,21.85
2,11824.55,86.53,1659,21.85
3,11824.55,86.53,1659,21.85
4,11824.55,86.53,1659,21.85
5,11824.55,86.53,1659,21.85
1,11945.63,86.95,1992,21.95
1,11945.63,86.95,1992,21.95
2,11945.63,86.95,1992,21.95
3,11945.63,86.95,1992,21.95
4,11945.63,86.95,1992,21.95
5,11945.63,86.95,1992,21.95
6,11945.63,86.95,1992,21.95
7,11945.63,86.95,1992,21.95
8,11945.63,86.95,1992,21.95
9,11945.63,86.95,1992,21.95
10,11945.63,86.95,1992,21.95
11,11945.63,86.95,1992,21.95
12,11945.63,86.95,1992,21.95
13,11945.63,86.95,1992,21.95
14,11945.63,86.95,1992,21.95
15,11945.63,86.95,1992,21.95
16,11945.63,86.95,1992,21.95
17,11945.63,86.95,1992,21.95
18,11945.63,86.95,1992,21.95
19,11945.63,86.95,1992,21.95
20,11945.63,86.95,1992,21.95
1,11945.63,86.95,1993,21.95
1,77.94,14.58,19,3.88
1,6655.39,72.54,250,18.35
1,11945.63,86.95,1993,21.95
1,77.94,14.58,19,3.88
1,11945.63,86.95,1993,21.95
1,77.94,14.58,19,3.88
1,11945.63,86.95,1993,21.95
1,77.94,14.58,19,3.88
1,6655.39,72.54,250,18.35
1,12279.51,88.07,4005,22.23
1,77.94,14.58,19,3.88
1,11945.63,86.95,1993,21.95
1,77.94,14.58,19,3.88
1,6655.39,72.54,250,18.35
1,6655.39,72.54,250,18.35
1,12279.51,88.07,4005,22.23
1,77.94,14.58,19,3.88
1,12279.51,88.07,4005,22.23
1,77.94,14.58,19,3.88
1,12279.51,88.07,4005,22.23
1,77.94,14.58,19,3.88
1,6655.39,72.54,250,18.35
1,12279.51,88.07,4005,22.23
1,77.94,14.58,19,3.88
1,6655.39,72.54,250,18.35
1,12279.51,88.07,4005,22.23
1,77.94,14.58,19,3.88
1,12279.51,88.07,4005,22.23
1,77.94,14.58,19,3.88
